input;expected_output;expected_json
"[{""role"": ""user"", ""content"": ""[{\""type\"":\""POWER_METER_SWITCH\"",\""name\"":\""Zwischenstecker\"",\""deviceID\"":\""hdm:HomeMaticIP:3014F711A000049878593469\"",\""state\"":[{\""id\"":\""PowerMeter\"",\""state\"":{\""powerConsumption\"":0,\""energyConsumption\"":0}},{\""id\"":\""PowerSwitch\"",\""state\"":{\""switchState\"":\""OFF\""}}],\""room\"":\""Schlafzimmer\""},{\""type\"":\""SHUTTER_CONTACT\"",\""name\"":\""Fenster Esszimmer\"",\""deviceID\"":\""hdm:HomeMaticIP:3014F711A000009A1858FA5C\"",\""state\"":[{\""id\"":\""ShutterContact\"",\""state\"":{\""contactState\"":\""CLOSED\""}}],\""room\"":\""Wohnzimmer\""},{\""type\"":\""RADIATOR_THERMOSTAT\"",\""name\"":\""Heizkörper-Thermostat\"",\""deviceID\"":\""hdm:HomeMaticIP:3014F711A0000055385A0CF1\"",\""state\"":[{\""id\"":\""ValveTappet\"",\""state\"":{\""valvePosition\"":0}},{\""id\"":\""Thermostat\"",\""state\"":{\""childLock\"":\""OFF\""}},{\""id\"":\""TemperatureLevel\"",\""state\"":{\""temperature\"":27.5}}],\""room\"":\""Schlafzimmer\""},{\""type\"":\""ROOM_CLIMATE_CONTROL\"",\""name\"":\""-RoomClimateControl-\"",\""deviceID\"":\""roomClimateControl_hz_2\"",\""state\"":[{\""id\"":\""RoomClimateControl\"",\""state\"":{\""operationMode\"":\""AUTOMATIC\"",\""setpointTemperature\"":17}},{\""id\"":\""TemperatureLevel\"",\""state\"":{\""temperature\"":27.5}}],\""room\"":\""Schlafzimmer\""}]""}, {""role"": ""user"", ""content"": ""hello""}]";Hello, I'm SHBot. How can I help you with your smart home?;None
"[{""role"": ""user"", ""content"": ""[{\""type\"":\""POWER_METER_SWITCH\"",\""name\"":\""Zwischenstecker\"",\""deviceID\"":\""hdm:HomeMaticIP:3014F711A000049878593469\"",\""state\"":[{\""id\"":\""PowerMeter\"",\""state\"":{\""powerConsumption\"":0,\""energyConsumption\"":0}},{\""id\"":\""PowerSwitch\"",\""state\"":{\""switchState\"":\""OFF\""}}],\""room\"":\""Schlafzimmer\""}]""}, {""role"": ""user"", ""content"": ""Turn on the Zwischenstecker, please.""}]";The Zwischenstecker in your bedroom is now on.;"{""action"": ""turn-on"", ""deviceID"": ""hdm:HomeMaticIP:3014F711A000049878593469""}"
"[{""role"":""user"",""content"":""[{\""type\"":\""POWER_METER_SWITCH\"",\""name\"":\""Zwischenstecker\"",\""deviceID\"":\""hdm:HomeMaticIP:3014F711A000049878593469\"",\""state\"":[{\""id\"":\""PowerMeter\"",\""state\"":{\""powerConsumption\"":0,\""energyConsumption\"":0}},{\""id\"":\""PowerSwitch\"",\""state\"":{\""switchState\"":\""OFF\""}}],\""room\"":\""Schlafzimmer\""}]""},{""role"":""user"",""content"":""Is my Zwischenstecker on?""}]";No, your Zwischenstecker is currently turned off.;None
"[{""role"":""user"",""content"":""[{\""type\"":\""POWER_METER_SWITCH\"",\""name\"":\""Küchensteckdose\"",\""deviceID\"":\""hdm:HomeMaticIP:3014F711A000049878593471\"",\""state\"":[{\""id\"":\""PowerMeter\"",\""state\"":{\""powerConsumption\"":5,\""energyConsumption\"":20}},{\""id\"":\""PowerSwitch\"",\""state\"":{\""switchState\"":\""ON\""}}],\""room\"":\""Küche\""},{\""type\"":\""SHUTTER_CONTACT\"",\""name\"":\""Haustürkontakt\"",\""deviceID\"":\""hdm:HomeMaticIP:3014F711A000009A1858FA5E\"",\""state\"":[{\""id\"":\""ShutterContact\"",\""state\"":{\""contactState\"":\""OPEN\""}}],\""room\"":\""Eingangsbereich\""},{\""type\"":\""RADIATOR_THERMOSTAT\"",\""name\"":\""Büro-Thermostat\"",\""deviceID\"":\""hdm:HomeMaticIP:3014F711A0000055385A0CF3\"",\""state\"":[{\""id\"":\""ValveTappet\"",\""state\"":{\""valvePosition\"":10}},{\""id\"":\""Thermostat\"",\""state\"":{\""childLock\"":\""OFF\""}},{\""id\"":\""TemperatureLevel\"",\""state\"":{\""temperature\"":23.0}}],\""room\"":\""Büro\""},{\""type\"":\""ROOM_CLIMATE_CONTROL\"",\""name\"":\""Raumklimakontrolle-Büro\"",\""deviceID\"":\""roomClimateControl_buero_1\"",\""state\"":[{\""id\"":\""RoomClimateControl\"",\""state\"":{\""operationMode\"":\""AUTOMATIC\"",\""setpointTemperature\"":21.0}},{\""id\"":\""TemperatureLevel\"",\""state\"":{\""temperature\"":23.0}}],\""room\"":\""Büro\""}]""},{""role"":""user"",""content"":""What's the current power consumption of the Küchensteckdose?""}]";The current power consumption of the Küchensteckdose in the kitchen is 5W.;None
"[{""role"": ""user"", ""content"": ""[{\""type\"":\""POWER_METER_SWITCH\"",\""name\"":\""Wohnzimmerlampe\"",\""deviceID\"":\""hdm:HomeMaticIP:3014F711A000049878593472\"",\""state\"":[{\""id\"":\""PowerMeter\"",\""state\"":{\""powerConsumption\"":15,\""energyConsumption\"":45}},{\""id\"":\""PowerSwitch\"",\""state\"":{\""switchState\"":\""ON\""}}],\""room\"":\""Wohnzimmer\""}]""}, {""role"": ""user"", ""content"": ""Can you turn on the Wohnzimmerlampe?""}]";The Wohnzimmerlampe is already turned on. No need to switch it on.;"{""action"": ""turn-on"", ""deviceID"": ""hdm:HomeMaticIP:3014F711A000049878593472""}"
"[{""role"": ""user"", ""content"": ""[{\""type\"":\""ROOM_CLIMATE_CONTROL\"",\""name\"":\""Raumklimakontrolle-Schlafzimmer\"",\""deviceID\"":\""roomClimateControl_schlafzimmer_1\"",\""state\"":[{\""id\"":\""RoomClimateControl\"",\""state\"":{\""operationMode\"":\""AUTOMATIC\"",\""setpointTemperature\"":18.0}},{\""id\"":\""TemperatureLevel\"",\""state\"":{\""temperature\"":19.0}}],\""room\"":\""Schlafzimmer\""}]""}, {""role"": ""user"", ""content"": ""What is the temperature in the Schlafzimmer?""}]";The current temperature in the Schlafzimmer is 19.0 degrees Celsius.;None
"[{""role"": ""user"", ""content"": ""[{\""type\"":\""ROOM_CLIMATE_CONTROL\"",\""name\"":\""Raumklimakontrolle-Schlafzimmer\"",\""deviceID\"":\""roomClimateControl_schlafzimmer_1\"",\""state\"":[{\""id\"":\""RoomClimateControl\"",\""state\"":{\""operationMode\"":\""AUTOMATIC\"",\""setpointTemperature\"":18.0}},{\""id\"":\""TemperatureLevel\"",\""state\"":{\""temperature\"":19.0}}],\""room\"":\""Schlafzimmer\""}]""}, {""role"": ""user"", ""content"": ""What is the temperature set to in the Schlafzimmer?""}]";The temperature in the Schlafzimmer is set to 18.0 degrees Celsius.;None
"[{""role"": ""user"", ""content"": ""[{\""type\"":\""ROOM_CLIMATE_CONTROL\"",\""name\"":\""Raumklimakontrolle-Schlafzimmer\"",\""deviceID\"":\""roomClimateControl_schlafzimmer_1\"",\""state\"":[{\""id\"":\""RoomClimateControl\"",\""state\"":{\""operationMode\"":\""AUTOMATIC\"",\""setpointTemperature\"":18.0}},{\""id\"":\""TemperatureLevel\"",\""state\"":{\""temperature\"":19.0}}],\""room\"":\""Schlafzimmer\""}]""}, {""role"": ""user"", ""content"": ""What is the temperature set to and the current temperature in the Schlafzimmer?""}]";The temperature in the Schlafzimmer is set to 18.0 degrees Celsius and the current temperature is 19.0 degrees Celsius.;None
"[{""role"": ""user"", ""content"": ""[{\""type\"":\""ROOM_CLIMATE_CONTROL\"",\""name\"":\""Raumklimakontrolle-Schlafzimmer\"",\""deviceID\"":\""roomClimateControl_schlafzimmer_1\"",\""state\"":[{\""id\"":\""RoomClimateControl\"",\""state\"":{\""operationMode\"":\""AUTOMATIC\"",\""setpointTemperature\"":18.0}},{\""id\"":\""TemperatureLevel\"",\""state\"":{\""temperature\"":19.0}}],\""room\"":\""Schlafzimmer\""}]""}, {""role"": ""user"", ""content"": ""What is the temperature in the Küche?""}]";I'm sorry, but there are no temperature sensors available in the Küche.;None
"[{""role"": ""user"", ""content"": ""[{\""type\"":\""POWER_METER_SWITCH\"",\""name\"":\""Küchensteckdose\"",\""deviceID\"":\""hdm:HomeMaticIP:3014F711A000049878593471\"",\""state\"":[{\""id\"":\""PowerMeter\"",\""state\"":{\""powerConsumption\"":5,\""energyConsumption\"":20}},{\""id\"":\""PowerSwitch\"",\""state\"":{\""switchState\"":\""ON\""}}],\""room\"":\""Küche\""},{\""type\"":\""SHUTTER_CONTACT\"",\""name\"":\""Haustürkontakt\"",\""deviceID\"":\""hdm:HomeMaticIP:3014F711A000009A1858FA5E\"",\""state\"":[{\""id\"":\""ShutterContact\"",\""state\"":{\""contactState\"":\""OPEN\""}}],\""room\"":\""Eingangsbereich\""},{\""type\"":\""RADIATOR_THERMOSTAT\"",\""name\"":\""Büro-Thermostat\"",\""deviceID\"":\""hdm:HomeMaticIP:3014F711A0000055385A0CF3\"",\""state\"":[{\""id\"":\""ValveTappet\"",\""state\"":{\""valvePosition\"":10}},{\""id\"":\""Thermostat\"",\""state\"":{\""childLock\"":\""OFF\""}},{\""id\"":\""TemperatureLevel\"",\""state\"":{\""temperature\"":23.0}}],\""room\"":\""Büro\""},{\""type\"":\""ROOM_CLIMATE_CONTROL\"",\""name\"":\""Raumklimakontrolle-Büro\"",\""deviceID\"":\""roomClimateControl_buero_1\"",\""state\"":[{\""id\"":\""RoomClimateControl\"",\""state\"":{\""operationMode\"":\""AUTOMATIC\"",\""setpointTemperature\"":21.0}},{\""id\"":\""TemperatureLevel\"",\""state\"":{\""temperature\"":23.0}}],\""room\"":\""Büro\""}]""}, {""role"": ""user"", ""content"": ""Ändere die Temperatur im Büro auf 22.""}]";Die Temperatur im Büro wurde auf 22°C geändert.;"{""action"": ""change-temperature"", ""value"": ""22"", ""deviceID"": ""roomClimateControl_buero_1""}"
"[{""role"": ""user"", ""content"": ""[{\""type\"":\""ROOM_CLIMATE_CONTROL\"",\""name\"":\""Raumklimakontrolle-Schlafzimmer\"",\""deviceID\"":\""roomClimateControl_schlafzimmer_1\"",\""state\"":[{\""id\"":\""RoomClimateControl\"",\""state\"":{\""operationMode\"":\""AUTOMATIC\"",\""setpointTemperature\"":18.0}},{\""id\"":\""TemperatureLevel\"",\""state\"":{\""temperature\"":19.0}}],\""room\"":\""Schlafzimmer\""}]""}, {""role"": ""user"", ""content"": ""Auf welche Temperatur ist das Schlafzimmer eingestellt?""}]";Die Temperatur im Schlafzimmer ist auf 18,0 Grad Celsius eingestellt.;None
